year,orig,dest,flow
1991,Rondônia,Acre,3728
1991,Rondônia,Amazonas,2515
1991,Rondônia,Roraima,1504
1991,Rondônia,Pará,2520
1991,Rondônia,Amapá,74
1991,Rondônia,Tocantins,1043
1991,Rondônia,Maranhão,1167
1991,Rondônia,Piauí,268
1991,Rondônia,Ceará,1750
1991,Rondônia,Rio Grande do Norte,791
1991,Rondônia,Paraíba,873
1991,Rondônia,Pernambuco,987
1991,Rondônia,Alagoas,239
1991,Rondônia,Sergipe,146
1991,Rondônia,Bahia,1464
1991,Rondônia,Minas Gerais,7712
1991,Rondônia,Espírito Santo,4794
1991,Rondônia,Rio de Janeiro,1697
1991,Rondônia,São Paulo,12737
1991,Rondônia,Paraná,16321
1991,Rondônia,Santa Catarina,1619
1991,Rondônia,Rio Grande do Sul,1245
1991,Rondônia,Mato Grosso do Sul,6520
1991,Rondônia,Mato Grosso,18289
1991,Rondônia,Goiás,3462
1991,Rondônia,Distrito Federal,997
1991,Acre,Rondônia,5374
1991,Acre,Amazonas,3052
1991,Acre,Roraima,303
1991,Acre,Pará,413
1991,Acre,Amapá,15
1991,Acre,Tocantins,22
1991,Acre,Maranhão,45
1991,Acre,Piauí,43
1991,Acre,Ceará,382
1991,Acre,Rio Grande do Norte,176
1991,Acre,Paraíba,124
1991,Acre,Pernambuco,98
1991,Acre,Alagoas,0
1991,Acre,Sergipe,51
1991,Acre,Bahia,58
1991,Acre,Minas Gerais,423
1991,Acre,Espírito Santo,139
1991,Acre,Rio de Janeiro,353
1991,Acre,São Paulo,810
1991,Acre,Paraná,409
1991,Acre,Santa Catarina,137
1991,Acre,Rio Grande do Sul,321
1991,Acre,Mato Grosso do Sul,189
1991,Acre,Mato Grosso,792
1991,Acre,Goiás,260
1991,Acre,Distrito Federal,355
1991,Amazonas,Rondônia,7660
1991,Amazonas,Acre,3371
1991,Amazonas,Roraima,3426
1991,Amazonas,Pará,7181
1991,Amazonas,Amapá,276
1991,Amazonas,Tocantins,169
1991,Amazonas,Maranhão,996
1991,Amazonas,Piauí,485
1991,Amazonas,Ceará,2910
1991,Amazonas,Rio Grande do Norte,780
1991,Amazonas,Paraíba,250
1991,Amazonas,Pernambuco,967
1991,Amazonas,Alagoas,126
1991,Amazonas,Sergipe,189
1991,Amazonas,Bahia,754
1991,Amazonas,Minas Gerais,2557
1991,Amazonas,Espírito Santo,187
1991,Amazonas,Rio de Janeiro,3037
1991,Amazonas,São Paulo,3742
1991,Amazonas,Paraná,1070
1991,Amazonas,Santa Catarina,282
1991,Amazonas,Rio Grande do Sul,746
1991,Amazonas,Mato Grosso do Sul,659
1991,Amazonas,Mato Grosso,611
1991,Amazonas,Goiás,738
1991,Amazonas,Distrito Federal,1118
1991,Roraima,Rondônia,704
1991,Roraima,Acre,14
1991,Roraima,Amazonas,795
1991,Roraima,Pará,868
1991,Roraima,Amapá,71
1991,Roraima,Tocantins,196
1991,Roraima,Maranhão,301
1991,Roraima,Piauí,45
1991,Roraima,Ceará,498
1991,Roraima,Rio Grande do Norte,296
1991,Roraima,Paraíba,230
1991,Roraima,Pernambuco,208
1991,Roraima,Alagoas,0
1991,Roraima,Sergipe,0
1991,Roraima,Bahia,127
1991,Roraima,Minas Gerais,221
1991,Roraima,Espírito Santo,86
1991,Roraima,Rio de Janeiro,205
1991,Roraima,São Paulo,418
1991,Roraima,Paraná,61
1991,Roraima,Santa Catarina,92
1991,Roraima,Rio Grande do Sul,359
1991,Roraima,Mato Grosso do Sul,56
1991,Roraima,Mato Grosso,115
1991,Roraima,Goiás,377
1991,Roraima,Distrito Federal,350
1991,Pará,Rondônia,5397
1991,Pará,Acre,377
1991,Pará,Amazonas,24188
1991,Pará,Roraima,7393
1991,Pará,Amapá,17824
1991,Pará,Tocantins,16161
1991,Pará,Maranhão,28080
1991,Pará,Piauí,4011
1991,Pará,Ceará,8574
1991,Pará,Rio Grande do Norte,2399
