sex,place_of_enumeration,place_of_birth,migrants
male,Woleu N'Tern,Woleu N'Tern,33827
male,Woleu N'Tern,Estuaire,103
male,Woleu N'Tern,Ogooué Maritime,0
male,Woleu N'Tern,Moyen Ogooué,10
male,Woleu N'Tern,Ogooué Ivindo,150
male,Woleu N'Tern,Ogooué Lolo,0
male,Woleu N'Tern,Haut Ogooué,31
male,Woleu N'Tern,N'Gounie,26
male,Woleu N'Tern,Nyanga,47
male,Woleu N'Tern,Total Gabon,34193
male,Woleu N'Tern,Abroad,771
male,Woleu N'Tern,Grand total,34965
male,Estuaire,Woleu N'Tern,2505
male,Estuaire,Estuaire,15260
male,Estuaire,Ogooué Maritime,440
male,Estuaire,Moyen Ogooué,584
male,Estuaire,Ogooué Ivindo,1289
male,Estuaire,Ogooué Lolo,1411
male,Estuaire,Haut Ogooué,1189
male,Estuaire,N'Gounie,3871
male,Estuaire,Nyanga,1687
male,Estuaire,Total Gabon,28236
male,Estuaire,Abroad,3265
male,Estuaire,Grand total,31523
male,Ogooué Maritime,Woleu N'Tern,127
male,Ogooué Maritime,Estuaire,567
male,Ogooué Maritime,Ogooué Maritime,10575
male,Ogooué Maritime,Moyen Ogooué,1303
male,Ogooué Maritime,Ogooué Ivindo,68
male,Ogooué Maritime,Ogooué Lolo,1352
male,Ogooué Maritime,Haut Ogooué,1049
male,Ogooué Maritime,N'Gounie,2892
male,Ogooué Maritime,Nyanga,1316
male,Ogooué Maritime,Total Gabon,19249
male,Ogooué Maritime,Abroad,1883
male,Ogooué Maritime,Grand total,21137
male,Moyen Ogooué,Woleu N'Tern,92
male,Moyen Ogooué,Estuaire,68
male,Moyen Ogooué,Ogooué Maritime,417
male,Moyen Ogooué,Moyen Ogooué,11773
male,Moyen Ogooué,Ogooué Ivindo,367
male,Moyen Ogooué,Ogooué Lolo,890
male,Moyen Ogooué,Haut Ogooué,213
male,Moyen Ogooué,N'Gounie,2442
male,Moyen Ogooué,Nyanga,716
male,Moyen Ogooué,Total Gabon,16976
male,Moyen Ogooué,Abroad,228
male,Moyen Ogooué,Grand total,17213
male,Ogooué Ivindo,Woleu N'Tern,90
male,Ogooué Ivindo,Estuaire,45
male,Ogooué Ivindo,Ogooué Maritime,11
male,Ogooué Ivindo,Moyen Ogooué,45
male,Ogooué Ivindo,Ogooué Ivindo,15739
male,Ogooué Ivindo,Ogooué Lolo,11
male,Ogooué Ivindo,Haut Ogooué,11
male,Ogooué Ivindo,N'Gounie,11
male,Ogooué Ivindo,Nyanga,0
male,Ogooué Ivindo,Total Gabon,15966
male,Ogooué Ivindo,Abroad,249
male,Ogooué Ivindo,Grand total,16214
male,Ogooué Lolo,Woleu N'Tern,0
male,Ogooué Lolo,Estuaire,19
male,Ogooué Lolo,Ogooué Maritime,19
male,Ogooué Lolo,Moyen Ogooué,0
male,Ogooué Lolo,Ogooué Ivindo,0
male,Ogooué Lolo,Ogooué Lolo,15350
male,Ogooué Lolo,Haut Ogooué,77
male,Ogooué Lolo,N'Gounie,10
male,Ogooué Lolo,Nyanga,19
male,Ogooué Lolo,Total Gabon,15494
male,Ogooué Lolo,Abroad,38
male,Ogooué Lolo,Grand total,15590
male,Haut Ogooué,Woleu N'Tern,0
male,Haut Ogooué,Estuaire,0
male,Haut Ogooué,Ogooué Maritime,0
male,Haut Ogooué,Moyen Ogooué,0
male,Haut Ogooué,Ogooué Ivindo,0
male,Haut Ogooué,Ogooué Lolo,98
male,Haut Ogooué,Haut Ogooué,17392
male,Haut Ogooué,N'Gounie,0
male,Haut Ogooué,Nyanga,0
male,Haut Ogooué,Total Gabon,17491
male,Haut Ogooué,Abroad,517
male,Haut Ogooué,Grand total,18032
male,N'Gounie,Woleu N'Tern,37
male,N'Gounie,Estuaire,356
male,N'Gounie,Ogooué Maritime,198
male,N'Gounie,Moyen Ogooué,230
male,N'Gounie,Ogooué Ivindo,16
male,N'Gounie,Ogooué Lolo,528
male,N'Gounie,Haut Ogooué,22
male,N'Gounie,N'Gounie,31765
male,N'Gounie,Nyanga,812
male,N'Gounie,Total Gabon,33964
male,N'Gounie,Abroad,594
male,N'Gounie,Grand total,34558
male,Nyanga,Woleu N'Tern,0
male,Nyanga,Estuaire,0
male,Nyanga,Ogooué Maritime,49
male,Nyanga,Moyen Ogooué,82
male,Nyanga,Ogooué Ivindo,0
male,Nyanga,Ogooué Lolo,0
male,Nyanga,Haut Ogooué,0
male,Nyanga,N'Gounie,197
male,Nyanga,Nyanga,14776
male,Nyanga,Total Gabon,15104
male,Nyanga,Abroad,361
male,Nyanga,Grand total,15465
male,Total,Woleu N'Tern,36678
male,Total,Estuaire,16418
male,Total,Ogooué Maritime,11709
male,Total,Moyen Ogooué,14027
male,Total,Ogooué Ivindo,17629
male,Total,Ogooué Lolo,19640
male,Total,Haut Ogooué,19984
male,Total,N'Gounie,41214
male,Total,Nyanga,19373
male,Total,Total Gabon,196673
male,Total,Abroad,7906
male,Total,Grand total,204698
female,Woleu N'Tern,Woleu N'Tern,40783
female,Woleu N'Tern,Estuaire,423
female,Woleu N'Tern,Ogooué Maritime,21
female,Woleu N'Tern,Moyen Ogooué,41
female,Woleu N'Tern,Ogooué Ivindo,412
female,Woleu N'Tern,Ogooué Lolo,0
female,Woleu N'Tern,Haut Ogooué,16
female,Woleu N'Tern,N'Gounie,57
female,Woleu N'Tern,Nyanga,155
female,Woleu N'Tern,Total Gabon,41907
female,Woleu N'Tern,Abroad,1440
female,Woleu N'Tern,Grand total,43346
female,Estuaire,Woleu N'Tern,2394
female,Estuaire,Estuaire,17428
female,Estuaire,Ogooué Maritime,385
female,Estuaire,Moyen Ogooué,704
female,Estuaire,Ogooué Ivindo,781
female,Estuaire,Ogooué Lolo,928
female,Estuaire,Haut Ogooué,485
female,Estuaire,N'Gounie,2501
female,Estuaire,Nyanga,1213
female,Estuaire,Total Gabon,26821
female,Estuaire,Abroad,2695
female,Estuaire,Grand total,29552
female,Ogooué Maritime,Woleu N'Tern,64
female,Ogooué Maritime,Estuaire,612
female,Ogooué Maritime,Ogooué Maritime,12037
female,Ogooué Maritime,Moyen Ogooué,1320
female,Ogooué Maritime,Ogooué Ivindo,50
female,Ogooué Maritime,Ogooué Lolo,942
female,Ogooué Maritime,Haut Ogooué,458
female,Ogooué Maritime,N'Gounie,2938
female,Ogooué Maritime,Nyanga,868
female,Ogooué Maritime,Total Gabon,19289
female,Ogooué Maritime,Abroad,1063
female,Ogooué Maritime,Grand total,20366
female,Moyen Ogooué,Woleu N'Tern,29
female,Moyen Ogooué,Estuaire,139
female,Moyen Ogooué,Ogooué Maritime,502
female,Moyen Ogooué,Moyen Ogooué,12230
female,Moyen Ogooué,Ogooué Ivindo,292
female,Moyen Ogooué,Ogooué Lolo,647
female,Moyen Ogooué,Haut Ogooué,150
female,Moyen Ogooué,N'Gounie,2309
female,Moyen Ogooué,Nyanga,384
female,Moyen Ogooué,Total Gabon,16680
female,Moyen Ogooué,Abroad,164
female,Moyen Ogooué,Grand total,16844
female,Ogooué Ivindo,Woleu N'Tern,23
