orig,dest,age,sex,flow
North East,North East,1-15,Males,0
North East,North West,1-15,Males,246
North East,Yorkshire and The Humber,1-15,Males,416
North East,East Midlands,1-15,Males,136
North East,West Midlands,1-15,Males,100
North East,East,1-15,Males,139
North East,London,1-15,Males,217
North East,South East,1-15,Males,181
North East,South West,1-15,Males,107
North East,Wales,1-15,Males,47
North East,Scotland,1-15,Males,229
North East,Northern Ireland,1-15,Males,18
North West,North East,1-15,Males,274
North West,North West,1-15,Males,0
North West,Yorkshire and The Humber,1-15,Males,810
North West,East Midlands,1-15,Males,404
North West,West Midlands,1-15,Males,592
North West,East,1-15,Males,306
North West,London,1-15,Males,585
North West,South East,1-15,Males,502
North West,South West,1-15,Males,305
North West,Wales,1-15,Males,411
North West,Scotland,1-15,Males,346
North West,Northern Ireland,1-15,Males,60
Yorkshire and The Humber,North East,1-15,Males,384
Yorkshire and The Humber,North West,1-15,Males,720
Yorkshire and The Humber,Yorkshire and The Humber,1-15,Males,0
Yorkshire and The Humber,East Midlands,1-15,Males,725
Yorkshire and The Humber,West Midlands,1-15,Males,371
Yorkshire and The Humber,East,1-15,Males,379
Yorkshire and The Humber,London,1-15,Males,478
Yorkshire and The Humber,South East,1-15,Males,505
Yorkshire and The Humber,South West,1-15,Males,280
Yorkshire and The Humber,Wales,1-15,Males,118
Yorkshire and The Humber,Scotland,1-15,Males,290
Yorkshire and The Humber,Northern Ireland,1-15,Males,39
East Midlands,North East,1-15,Males,119
East Midlands,North West,1-15,Males,478
East Midlands,Yorkshire and The Humber,1-15,Males,837
East Midlands,East Midlands,1-15,Males,0
East Midlands,West Midlands,1-15,Males,827
East Midlands,East,1-15,Males,940
East Midlands,London,1-15,Males,582
East Midlands,South East,1-15,Males,935
East Midlands,South West,1-15,Males,316
East Midlands,Wales,1-15,Males,133
East Midlands,Scotland,1-15,Males,174
East Midlands,Northern Ireland,1-15,Males,61
West Midlands,North East,1-15,Males,112
West Midlands,North West,1-15,Males,607
West Midlands,Yorkshire and The Humber,1-15,Males,366
West Midlands,East Midlands,1-15,Males,794
West Midlands,West Midlands,1-15,Males,0
West Midlands,East,1-15,Males,409
West Midlands,London,1-15,Males,656
West Midlands,South East,1-15,Males,668
West Midlands,South West,1-15,Males,577
West Midlands,Wales,1-15,Males,355
West Midlands,Scotland,1-15,Males,173
West Midlands,Northern Ireland,1-15,Males,63
East,North East,1-15,Males,131
East,North West,1-15,Males,326
East,Yorkshire and The Humber,1-15,Males,356
East,East Midlands,1-15,Males,693
East,West Midlands,1-15,Males,344
East,East,1-15,Males,0
East,London,1-15,Males,3912
East,South East,1-15,Males,1254
East,South West,1-15,Males,412
East,Wales,1-15,Males,143
East,Scotland,1-15,Males,229
East,Northern Ireland,1-15,Males,81
London,North East,1-15,Males,136
London,North West,1-15,Males,409
London,Yorkshire and The Humber,1-15,Males,387
London,East Midlands,1-15,Males,288
London,West Midlands,1-15,Males,496
London,East,1-15,Males,1221
London,London,1-15,Males,0
London,South East,1-15,Males,1843
London,South West,1-15,Males,427
London,Wales,1-15,Males,173
London,Scotland,1-15,Males,252
London,Northern Ireland,1-15,Males,41
South East,North East,1-15,Males,164
South East,North West,1-15,Males,508
South East,Yorkshire and The Humber,1-15,Males,530
South East,East Midlands,1-15,Males,720
South East,West Midlands,1-15,Males,649
South East,East,1-15,Males,1471
South East,London,1-15,Males,6815
South East,South East,1-15,Males,0
South East,South West,1-15,Males,1656
South East,Wales,1-15,Males,314
South East,Scotland,1-15,Males,432
South East,Northern Ireland,1-15,Males,120
South West,North East,1-15,Males,101
South West,North West,1-15,Males,387
South West,Yorkshire and The Humber,1-15,Males,364
South West,East Midlands,1-15,Males,480
South West,West Midlands,1-15,Males,793
South West,East,1-15,Males,706
South West,London,1-15,Males,1180
South West,South East,1-15,Males,2465
South West,South West,1-15,Males,0
South West,Wales,1-15,Males,408
South West,Scotland,1-15,Males,256
South West,Northern Ireland,1-15,Males,53
Wales,North East,1-15,Males,43
Wales,North West,1-15,Males,490
Wales,Yorkshire and The Humber,1-15,Males,126
Wales,East Midlands,1-15,Males,176
Wales,West Midlands,1-15,Males,398
Wales,East,1-15,Males,164
Wales,London,1-15,Males,247
Wales,South East,1-15,Males,361
Wales,South West,1-15,Males,466
Wales,Wales,1-15,Males,0
Wales,Scotland,1-15,Males,105
Wales,Northern Ireland,1-15,Males,21
Scotland,North East,1-15,Males,198
Scotland,North West,1-15,Males,365
Scotland,Yorkshire and The Humber,1-15,Males,233
Scotland,East Midlands,1-15,Males,214
Scotland,West Midlands,1-15,Males,185
Scotland,East,1-15,Males,196
Scotland,London,1-15,Males,228
Scotland,South East,1-15,Males,398
Scotland,South West,1-15,Males,203
Scotland,Wales,1-15,Males,107
Scotland,Scotland,1-15,Males,0
Scotland,Northern Ireland,1-15,Males,97
Northern Ireland,North East,1-15,Males,30
Northern Ireland,North West,1-15,Males,79
Northern Ireland,Yorkshire and The Humber,1-15,Males,49
Northern Ireland,East Midlands,1-15,Males,32
Northern Ireland,West Midlands,1-15,Males,50
Northern Ireland,East,1-15,Males,57
Northern Ireland,London,1-15,Males,82
Northern Ireland,South East,1-15,Males,112
Northern Ireland,South West,1-15,Males,50
Northern Ireland,Wales,1-15,Males,16
Northern Ireland,Scotland,1-15,Males,143
Northern Ireland,Northern Ireland,1-15,Males,0
North East,North East,1-15,Females,0
North East,North West,1-15,Females,268
North East,Yorkshire and The Humber,1-15,Females,408
North East,East Midlands,1-15,Females,144
North East,West Midlands,1-15,Females,110
North East,East,1-15,Females,137
North East,London,1-15,Females,147
North East,South East,1-15,Females,188
North East,South West,1-15,Females,99
North East,Wales,1-15,Females,42
North East,Scotland,1-15,Females,230
North East,Northern Ireland,1-15,Females,23
North West,North East,1-15,Females,218
North West,North West,1-15,Females,0
North West,Yorkshire and The Humber,1-15,Females,759
North West,East Midlands,1-15,Females,391
