orig,dest,year,period,move_type,flow
Northeast,Northeast,1940,1935-1940,Primary,0
Midwest,Northeast,1940,1935-1940,Primary,86117
South,Northeast,1940,1935-1940,Primary,123388
West,Northeast,1940,1935-1940,Primary,10618
Northeast,Midwest,1940,1935-1940,Primary,97555
Midwest,Midwest,1940,1935-1940,Primary,0
South,Midwest,1940,1935-1940,Primary,294205
West,Midwest,1940,1935-1940,Primary,30526
Northeast,South,1940,1935-1940,Primary,164459
Midwest,South,1940,1935-1940,Primary,224793
South,South,1940,1935-1940,Primary,0
West,South,1940,1935-1940,Primary,26920
Northeast,West,1940,1935-1940,Primary,58531
Midwest,West,1940,1935-1940,Primary,528219
South,West,1940,1935-1940,Primary,313630
West,West,1940,1935-1940,Primary,0
Northeast,Northeast,1960,1955-1960,Primary,0
Midwest,Northeast,1960,1955-1960,Primary,168651
South,Northeast,1960,1955-1960,Primary,310705
West,Northeast,1960,1955-1960,Primary,45096
Northeast,Midwest,1960,1955-1960,Primary,228032
Midwest,Midwest,1960,1955-1960,Primary,0
South,Midwest,1960,1955-1960,Primary,644917
West,Midwest,1960,1955-1960,Primary,98102
Northeast,South,1960,1955-1960,Primary,613930
Midwest,South,1960,1955-1960,Primary,622607
South,South,1960,1955-1960,Primary,0
West,South,1960,1955-1960,Primary,142892
Northeast,West,1960,1955-1960,Primary,313983
Midwest,West,1960,1955-1960,Primary,870050
South,West,1960,1955-1960,Primary,599675
West,West,1960,1955-1960,Primary,0
Northeast,Northeast,1970,1965-1970,Primary,0
Midwest,Northeast,1970,1965-1970,Primary,207400
South,Northeast,1970,1965-1970,Primary,313500
West,Northeast,1970,1965-1970,Primary,80600
Northeast,Midwest,1970,1965-1970,Primary,294200
Midwest,Midwest,1970,1965-1970,Primary,0
South,Midwest,1970,1965-1970,Primary,625400
West,Midwest,1970,1965-1970,Primary,181600
Northeast,South,1970,1965-1970,Primary,745700
Midwest,South,1970,1965-1970,Primary,768200
South,South,1970,1965-1970,Primary,0
West,South,1970,1965-1970,Primary,275900
Northeast,West,1970,1965-1970,Primary,340600
Midwest,West,1970,1965-1970,Primary,717900
South,West,1970,1965-1970,Primary,536300
West,West,1970,1965-1970,Primary,0
Northeast,Northeast,1980,1975-1980,Primary,0
Midwest,Northeast,1980,1975-1980,Primary,168760
South,Northeast,1980,1975-1980,Primary,242320
West,Northeast,1980,1975-1980,Primary,69840
Northeast,Midwest,1980,1975-1980,Primary,274640
Midwest,Midwest,1980,1975-1980,Primary,0
South,Midwest,1980,1975-1980,Primary,465200
West,Midwest,1980,1975-1980,Primary,185480
Northeast,South,1980,1975-1980,Primary,1239880
Midwest,South,1980,1975-1980,Primary,1155280
South,South,1980,1975-1980,Primary,0
West,South,1980,1975-1980,Primary,332240
Northeast,West,1980,1975-1980,Primary,513840
Midwest,West,1980,1975-1980,Primary,890000
South,West,1980,1975-1980,Primary,526920
West,West,1980,1975-1980,Primary,0
Northeast,Northeast,1990,1985-1990,Primary,0
Midwest,Northeast,1990,1985-1990,Primary,195792
South,Northeast,1990,1985-1990,Primary,292059
West,Northeast,1990,1985-1990,Primary,110666
Northeast,Midwest,1990,1985-1990,Primary,196845
Midwest,Midwest,1990,1985-1990,Primary,0
South,Midwest,1990,1985-1990,Primary,473966
West,Midwest,1990,1985-1990,Primary,205141
Northeast,South,1990,1985-1990,Primary,1216170
Midwest,South,1990,1985-1990,Primary,1147230
South,South,1990,1985-1990,Primary,0
West,South,1990,1985-1990,Primary,383712
Northeast,West,1990,1985-1990,Primary,328882
Midwest,West,1990,1985-1990,Primary,702016
South,West,1990,1985-1990,Primary,575246
West,West,1990,1985-1990,Primary,0
Northeast,Northeast,2000,1995-2000,Primary,0
Midwest,Northeast,2000,1995-2000,Primary,144159
South,Northeast,2000,1995-2000,Primary,266473
West,Northeast,2000,1995-2000,Primary,118484
Northeast,Midwest,2000,1995-2000,Primary,185873
Midwest,Midwest,2000,1995-2000,Primary,0
South,Midwest,2000,1995-2000,Primary,468591
West,Midwest,2000,1995-2000,Primary,282692
Northeast,South,2000,1995-2000,Primary,1183443
Midwest,South,2000,1995-2000,Primary,1016825
South,South,2000,1995-2000,Primary,0
West,South,2000,1995-2000,Primary,516337
Northeast,West,2000,1995-2000,Primary,311694
Midwest,West,2000,1995-2000,Primary,569767
South,West,2000,1995-2000,Primary,490827
West,West,2000,1995-2000,Primary,0
Northeast,Northeast,1940,1935-1940,Return,0
Midwest,Northeast,1940,1935-1940,Return,39582
South,Northeast,1940,1935-1940,Return,45456
West,Northeast,1940,1935-1940,Return,20618
Northeast,Midwest,1940,1935-1940,Return,41796
Midwest,Midwest,1940,1935-1940,Return,0
South,Midwest,1940,1935-1940,Return,89527
West,Midwest,1940,1935-1940,Return,70629
Northeast,South,1940,1935-1940,Return,51180
Midwest,South,1940,1935-1940,Return,97835
South,South,1940,1935-1940,Return,0
West,South,1940,1935-1940,Return,54552
Northeast,West,1940,1935-1940,Return,7824
Midwest,West,1940,1935-1940,Return,29425
South,West,1940,1935-1940,Return,20315
West,West,1940,1935-1940,Return,0
Northeast,Northeast,1960,1955-1960,Return,0
Midwest,Northeast,1960,1955-1960,Return,88609
South,Northeast,1960,1955-1960,Return,185439
West,Northeast,1960,1955-1960,Return,66397
Northeast,Midwest,1960,1955-1960,Return,70955
Midwest,Midwest,1960,1955-1960,Return,0
South,Midwest,1960,1955-1960,Return,238369
West,Midwest,1960,1955-1960,Return,211277
Northeast,South,1960,1955-1960,Return,134207
Midwest,South,1960,1955-1960,Return,347575
South,South,1960,1955-1960,Return,0
